Date,Open,High,Low,Close,RSI,pSAR,TEMA,ADX
2011-02-10,132.11000061035156,133.30999755859375,132.0,132.85000610351562,46.092442220362365,128.87654116800428,131.46245775700606,33.107729498118616
2011-02-11,133.00999450683594,133.44000244140625,132.08999633789062,132.32000732421875,44.09979823631778,129.15394869792402,131.6759285497869,31.07432205988096
2011-02-14,132.9499969482422,133.3800048828125,132.6999969482422,132.9499969482422,47.03112320270247,129.4147117760486,131.87458768185638,29.186158010088853
2011-02-15,133.86000061035156,134.1699981689453,133.6300048828125,133.97000122070312,51.468511941386694,129.65982906948568,132.09496186313586,27.407409022613475
2011-02-16,134.22999572753906,134.86000061035156,133.4499969482422,134.10000610351562,52.02021748108563,130.02064259744245,132.3388969838636,26.263412709972354
2011-02-17,134.74000549316406,135.16000366210938,134.47000122070312,135.0399932861328,55.92191342005627,130.50457839873337,132.6266112887677,25.413803141410686
2011-02-18,135.1699981689453,135.8000030517578,134.8800048828125,135.41000366210938,57.390757229611935,131.06322943033848,132.95579321265046,25.063219973337148
2011-02-22,136.9199981689453,137.22000122070312,136.19000244140625,136.2899932861328,60.74145612736549,131.72637773733717,133.3354072683159,25.56784172741875
2011-02-23,136.97000122070312,138.1999969482422,136.9199981689453,137.50999450683594,64.86643053832549,132.60535749467573,133.78616006113404,26.511579618076404
2011-02-24,138.0399932861328,138.13999938964844,135.72999572753906,136.47999572753906,59.20999046011356,133.6123925963177,134.24090085446701,26.261720533738156
2011-02-25,137.22000122070312,137.74000549316406,136.77000427246094,137.3800048828125,62.30328712177795,134.4381613796641,134.6951906285086,26.02970852685264
2011-02-28,137.64999389648438,138.13999938964844,137.02999877929688,137.66000366210938,63.2373339691982,135.11529178200817,135.1413758270309,26.047481404930775
2011-03-01,138.57000732421875,140.02999877929688,138.49000549316406,140.02999877929688,70.01073762371203,135.6705387119303,135.65054213512565,26.998661173249587
2011-03-02,140.24000549316406,140.5500030517578,139.47999572753906,139.9199981689453,69.3718629920922,136.54243072540362,136.20449143409948,28.098304594644777
2011-03-03,138.80999755859375,139.1300048828125,137.57000732421875,138.08999633789062,59.62392679486429,137.34394519067445,136.69792679744396,27.44094593624651
2011-03-04,138.6300048828125,139.75,138.61000061035156,139.35000610351562,63.43384527304673,137.57000732421875,137.14372957847826,27.1465143741411
2011-03-07,140.2899932861328,140.61000061035156,139.27999877929688,139.72000122070312,64.49336224610572,137.57000732421875,137.55525797123494,27.28575289242503
2011-03-08,139.64999389648438,139.66000366210938,138.8300018310547,139.36000061035156,62.59295784228157,138.17800598144532,137.91678076338414,27.03952531262397
2011-03-09,139.9199981689453,139.9499969482422,138.94000244140625,139.41000366210938,62.75711216197241,138.66440490722658,138.225063501786,26.96041098560668
2011-03-10,138.5,138.5,136.85000610351562,137.77000427246094,54.335177032462276,140.61000061035156,138.42079220951683,25.305409251516323
2011-03-11,137.2899932861328,138.92999267578125,137.17999267578125,138.22000122070312,56.07695173710755,140.53480072021483,138.52499039175518,24.026292913780043
2011-03-14,139.3300018310547,139.5500030517578,138.61000061035156,138.86000061035156,58.501322996587525,140.46110482788086,138.58746186062274,23.20246851451035
2011-03-15,135.35000610351562,136.94000244140625,135.22999572753906,136.27000427246094,47.15745241635313,140.38888285339357,138.53554178959394,22.61461085356905
2011-03-16,136.52000427246094,137.1999969482422,135.8000030517578,136.24000549316406,47.04366719450795,140.1825273683594,138.3781688252911,21.90594101750104
2011-03-17,136.55999755859375,137.0800018310547,136.25,136.97000122070312,50.19305982177673,139.9844261027266,138.17819660170457,21.247890455437886
2011-03-18,138.13999938964844,138.8300018310547,137.75999450683594,138.3699951171875,55.64154554177412,139.79424888771908,138.02455067464837,19.90226790972661
2011-03-21,139.5,139.91000366210938,138.97000122070312,139.13999938964844,58.340827604207966,135.22999572753906,137.9657781022824,19.222854148812946
2011-03-22,138.8800048828125,139.36000061035156,138.6699981689453,139.0500030517578,57.8973750883404,135.32359588623046,137.9905099667149,18.403667111799763
2011-03-23,139.61000061035156,140.5500030517578,139.5500030517578,140.33999633789062,62.31865699039353,135.41532404174805,138.1205899353895,18.252939446790304
2011-03-24,140.27000427246094,141.27999877929688,138.8300018310547,139.22000122070312,56.74687229852263,135.62071120214844,138.2888786573429,18.457552182915613
2011-03-25,140.0,140.24000549316406,138.66000366210938,139.25999450683594,56.89507590408235,135.96026845677736,138.46082533566855,18.524294026446803
2011-03-28,137.82000732421875,138.8300018310547,137.77999877929688,138.5399932861328,53.3509110244876,136.27945227612852,138.59220923077797,17.958776356312928
2011-03-29,138.2100067138672,138.82000732421875,137.94000244140625,138.2100067138672,51.75951896521865,136.57948506631863,138.66335638335383,17.43365280547433
2011-03-30,139.07000732421875,139.17999267578125,137.67999267578125,138.6699981689453,53.82709151894568,136.86151588909732,138.69845604619977,17.161417312427027
2011-03-31,140.0800018310547,140.39999389648438,139.77999877929688,139.86000061035156,58.75237110600896,137.1266248625093,138.75679522780092,17.58492852108932
2011-04-01,138.64999389648438,139.5500030517578,137.72000122070312,139.1999969482422,55.233301659752286,137.37582729751654,138.82331009826413,16.516959097536322
2011-04-04,140.1300048828125,140.25999450683594,139.4499969482422,139.83999633789062,57.868579664563,137.61007758642336,138.9126578449229,15.929363644413101
2011-04-05,139.5800018310547,142.08999633789062,139.52000427246094,142.0500030517578,65.4352313556686,137.72000122070312,139.1018046282405,16.29350257200239
2011-04-06,142.39999389648438,142.6199951171875,141.77000427246094,142.3800048828125,66.40545932490967,138.06960083007812,139.39289826580324,16.86582983340347
2011-04-07,142.22999572753906,142.88999938964844,141.8000030517578,142.50999450683594,66.80077596022339,138.52464025878905,139.75417766677543,17.517687745419867
2011-04-08,143.33999633789062,143.83999633789062,142.97000122070312,143.66000366210938,70.14760033748301,139.04848335449216,140.1872480416663,18.534359272236234
2011-04-11,143.27999877929688,143.49000549316406,142.27999877929688,142.63999938964844,63.986235483844546,139.71929517216796,140.6201549541533,18.938448959229056
2011-04-12,142.74000549316406,142.82000732421875,140.75,141.61000061035156,58.4073081867932,140.29619333536914,140.97743925810542,18.244715633950978
2011-04-13,142.38999938964844,142.52999877929688,141.47999572753906,141.89999389648438,59.478544040788215,140.75,141.25385628955513,17.600534689049905
2011-04-14,142.35000610351562,143.8300018310547,142.22999572753906,143.80999755859375,65.73769698135554,140.75,141.5293208717038,17.69057614914872
2011-04-15,143.85000610351562,145.1199951171875,143.57000732421875,145.0500030517578,69.0772110055885,141.18259948730469,141.8634821394304,18.364598053482606
2011-04-18,145.2100067138672,146.07000732421875,144.6300048828125,145.92999267578125,71.22099544161512,141.81258278808593,142.27901211630103,19.379589535209984
2011-04-19,145.72999572753906,146.24000549316406,145.17999267578125,145.92999267578125,71.22099544161512,142.57891920458985,142.74614284852493,20.39047622944444
2011-04-20,146.3699951171875,146.83999633789062,145.74000549316406,146.5,72.64562360787339,143.3111364623047,143.24648647218342,21.572300951496768
2011-04-21,146.57000732421875,147.05999755859375,146.32000732421875,146.74000549316406,73.24615727156565,144.01690843742188,143.75634182868814,22.758999613373646
2011-04-25,147.57000732421875,147.5800018310547,146.4199981689453,146.8699951171875,73.58441133415569,144.62552626165626,144.2521512465164,24.073012358642494
2011-04-26,146.47000122070312,146.6199951171875,145.47999572753906,146.3800048828125,69.99213676311777,145.21642137553596,144.6940651162738,24.430999129973777
2011-04-27,147.3800048828125,149.2100067138672,146.52000427246094,149.1999969482422,76.96260827220264,145.47999572753906,145.17232603636825,25.788561717707392
2011-04-28,149.3000030517578,150.0,148.60000610351562,149.82000732421875,78.16361012900889,145.47999572753906,145.70949922497698,27.30100114086608
2011-04-29,149.89999389648438,153.02999877929688,149.75,152.3699951171875,82.25989678924444,146.38399658203124,146.3715458106251,29.481097244638967
2011-05-02,151.4600067138672,153.61000061035156,150.36000061035156,150.41000366210938,71.20354435680045,147.71319702148438,147.0485227269496,31.62748488448208
2011-05-03,150.42999267578125,150.97000122070312,148.85000610351562,149.8800048828125,68.52155946716103,153.61000061035156,147.65928062057054,32.45860781892314
